country,genre,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025
이탈리아,음악,0.0,0.0,0.0,20.0,20.2,20.0
이탈리아,패션,0.0,0.0,0.0,20.0,20.0,20.2
이탈리아,한식,0.0,0.0,0.0,20.0,20.0,20.0
인도,게임,25.0,0.0,0.0,20.2,20.2,20.2
인도,도서/만화,25.0,20.0,20.2,20.2,20.0,20.0
인도,드라마,25.0,20.2,20.0,20.0,20.0,20.0
인도,뷰티,25.2,20.0,20.2,20.0,20.0,20.2
인도,애니메이션,25.0,20.2,20.2,20.2,20.2,20.0
인도,영화,25.0,19.8,20.0,0.0,20.0,20.0
인도,예능,25.2,19.8,20.2,20.0,20.0,20.0
인도,온라인/모바일게임,0.0,20.0,20.2,0.0,0.0,0.0
인도,웹툰,24.8,20.0,20.0,20.0,20.0,20.0
인도,음악,24.8,20.2,20.0,20.0,20.0,20.0
인도,패션,25.0,20.0,20.0,19.8,20.2,20.0
인도,한식,25.0,20.4,20.0,20.2,20.2,20.0
인도네시아,게임,25.2,0.0,0.0,20.2,20.2,20.0
인도네시아,도서/만화,24.8,20.0,20.0,20.0,20.0,20.0
인도네시아,드라마,25.0,20.0,19.8,20.2,20.2,19.8
인도네시아,뷰티,25.0,20.0,20.0,0.0,20.0,20.0
인도네시아,애니메이션,25.0,20.0,20.0,20.2,20.0,20.0
인도네시아,영화,24.8,20.0,20.0,20.2,20.0,20.0
인도네시아,예능,25.2,19.6,19.8,20.0,20.2,20.0
인도네시아,온라인/모바일게임,0.0,20.0,19.8,0.0,0.0,0.0
인도네시아,웹툰,25.0,19.8,19.8,20.2,19.8,20.0
인도네시아,음악,25.0,20.0,20.0,20.0,19.8,20.2
인도네시아,패션,25.0,19.8,19.8,20.2,19.8,20.0
인도네시아,한식,25.2,20.0,20.0,0.0,20.0,20.0
일본,게임,25.0,0.0,0.0,20.2,20.0,20.0
일본,도서/만화,24.8,20.2,20.2,20.2,20.0,20.2
일본,드라마,25.0,20.2,20.0,19.8,20.2,20.2
일본,뷰티,24.8,20.0,20.0,20.2,19.8,20.0
일본,애니메이션,25.0,20.0,20.0,20.0,20.2,19.8
일본,영화,25.0,20.0,20.0,20.0,20.0,20.0
일본,예능,24.8,20.0,20.2,20.0,19.8,20.2
일본,온라인/모바일게임,0.0,20.0,20.0,0.0,0.0,0.0
일본,웹툰,25.0,19.8,20.0,20.4,20.0,20.0
일본,음악,25.2,20.2,19.8,20.0,20.2,20.0
일본,패션,25.0,19.8,19.8,20.0,20.0,20.0
일본,한식,24.8,20.0,20.0,20.0,20.0,20.0
중국,게임,25.0,0.0,0.0,20.0,20.0,20.0
중국,도서/만화,25.0,20.0,20.2,20.2,20.0,20.2
중국,드라마,25.0,20.0,20.0,20.2,20.0,20.0
중국,뷰티,25.0,20.0,20.0,20.2,20.0,20.2
중국,애니메이션,25.0,20.0,20.0,20.0,20.2,20.2
중국,영화,25.0,20.2,20.0,20.0,20.2,20.0
중국,예능,25.0,20.0,20.2,20.0,20.0,20.0
중국,온라인/모바일게임,0.0,20.0,20.0,0.0,0.0,0.0
중국,웹툰,25.0,20.0,20.0,20.0,20.2,20.2
중국,음악,25.0,20.0,20.2,20.0,20.2,20.2
중국,패션,25.0,20.0,20.2,20.2,20.0,20.0
중국,한식,24.8,19.8,20.2,20.0,20.0,20.0
